Date,Adj Close,Close,High,Low,Open,Volume
2023-01-02,3310.15478515625,3372.64990234375,3420.0,3365.0,3420.0,283161
2023-01-03,3330.128173828125,3393.0,3402.0,3357.5,3372.64990234375,244677
2023-01-04,3371.8896484375,3435.550048828125,3449.0,3390.0,3390.199951171875,365514
2023-01-05,3397.702392578125,3461.85009765625,3470.89990234375,3405.0,3435.550048828125,270647
2023-01-06,3371.25146484375,3434.89990234375,3485.199951171875,3415.0,3461.85009765625,353616
2023-01-09,3395.395751953125,3459.5,3494.0,3446.0,3475.0,164412
2023-01-10,3436.9609375,3501.85009765625,3520.0,3452.699951171875,3466.0,244607
2023-01-11,3348.23583984375,3411.449951171875,3500.0,3406.0,3500.0,239027
2023-01-12,3244.05322265625,3305.300048828125,3426.449951171875,3281.300048828125,3425.0,929239
2023-01-13,3289.59326171875,3351.699951171875,3359.35009765625,3307.5,3321.85009765625,273260
2023-01-16,3271.435791015625,3333.199951171875,3367.699951171875,3316.5,3362.199951171875,123326
2023-01-17,3285.372802734375,3347.39990234375,3352.14990234375,3320.050048828125,3340.0,136458
2023-01-18,3325.711181640625,3388.5,3394.0,3347.39990234375,3351.60009765625,142704
2023-01-19,3319.33154296875,3382.0,3388.75,3352.050048828125,3375.0,104419
2023-01-20,3281.20166015625,3343.14990234375,3400.0,3336.25,3382.0,168535
2023-01-23,3322.963134765625,3385.699951171875,3415.0,3333.449951171875,3343.10009765625,220594
2023-01-24,3293.862548828125,3356.050048828125,3399.0,3345.0,3390.0,127508
2023-01-25,3273.889404296875,3335.699951171875,3376.800048828125,3303.25,3350.050048828125,239083
2023-01-27,3324.680908203125,3387.449951171875,3405.0,3315.050048828125,3359.60009765625,326612
2023-01-30,3304.0205078125,3366.39990234375,3405.050048828125,3352.449951171875,3399.949951171875,292148
2023-01-31,3253.867919921875,3315.300048828125,3381.14990234375,3309.75,3375.0,512249
2023-02-01,3294.64794921875,3356.85009765625,3419.0,3300.300048828125,3332.14990234375,501235
2023-02-02,3206.462646484375,3267.0,3369.5,3254.85009765625,3328.050048828125,334618
2023-02-03,2830.9033203125,2884.35009765625,3270.0,2795.0,3270.0,4486682
2023-02-06,2726.523681640625,2778.0,2878.10009765625,2745.0,2810.0,2195618
2023-02-07,2699.876953125,2750.85009765625,2819.949951171875,2740.10009765625,2790.14990234375,1469217
2023-02-08,2747.18408203125,2799.050048828125,2822.0,2757.0,2757.949951171875,913575
2023-02-09,2770.837158203125,2823.14990234375,2856.0,2771.050048828125,2771.050048828125,742365
2023-02-10,2759.15771484375,2811.25,2837.89990234375,2795.800048828125,2823.14990234375,380182
2023-02-13,2721.812744140625,2773.199951171875,2825.35009765625,2756.0,2825.35009765625,473865
2023-02-14,2739.920654296875,2791.64990234375,2798.39990234375,2755.0,2798.39990234375,213194
2023-02-15,2770.24853515625,2822.550048828125,2826.85009765625,2772.0,2790.050048828125,214098
2023-02-16,2823.296630859375,2876.60009765625,2886.0,2826.60009765625,2835.0,498759
2023-02-17,2777.364013671875,2829.800048828125,2876.0,2826.0,2876.0,282100
2023-02-20,2846.85205078125,2900.60009765625,2919.0,2800.0,2834.5,740945
2023-02-21,2864.5185546875,2918.60009765625,2928.300048828125,2883.199951171875,2910.75,419138
2023-02-22,2866.432373046875,2920.550048828125,2936.60009765625,2904.35009765625,2915.60009765625,461368
2023-02-23,2819.959716796875,2873.199951171875,2935.0,2866.0,2920.550048828125,432267
2023-02-24,2861.181396484375,2915.199951171875,2972.0,2879.949951171875,2879.949951171875,890366
