Date,APOLLOHOSP.NS,AXISBANK.NS,CIPLA.NS,DIVISLAB.NS,DRREDDY.NS,HCLTECH.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,KOTAKBANK.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,TECHM.NS,WIPRO.NS,^NSEI
2023-01-02,4411.58251953125,939.112060546875,1042.2684326171875,3310.15478515625,830.2246704101562,918.4269409179688,783.6778564453125,880.6473388671875,1397.7021484375,363.890869140625,578.9995727539062,962.1012573242188,2932.794189453125,920.3869018554688,183.37893676757812,18197.44921875
2023-01-03,4447.78125,959.7574462890625,1047.0859375,3330.1279296875,830.8715209960938,920.105712890625,788.8023681640625,879.5739135742188,1396.3724365234375,365.4460754394531,579.1886596679688,973.77783203125,2977.665771484375,933.424560546875,185.24514770507812,18232.55078125
2023-01-04,4390.73388671875,954.9202880859375,1038.3270263671875,3371.889404296875,833.841552734375,915.9087524414062,774.7041625976562,877.3782348632812,1370.922119140625,363.03350830078125,572.3790893554688,968.9527587890625,2980.633056640625,930.2335815429688,181.8159942626953,18042.94921875
2023-01-05,4386.52392578125,947.0410766601562,1059.202392578125,3397.7021484375,842.4671020507812,922.53564453125,769.7240600585938,857.9102783203125,1352.9462890625,362.9437561035156,572.2846069335938,980.6292114257812,2977.440673828125,922.3470458984375,180.50962829589844,17992.150390625
2023-01-06,4345.32421875,937.4166870117188,1047.5238037109375,3371.251220703125,837.419189453125,912.55126953125,767.1738891601562,849.0789184570312,1328.4591064453125,356.2643127441406,568.0759887695312,973.391845703125,2887.92236328125,899.09814453125,178.22349548339844,17859.44921875
2023-01-09,4365.37939453125,956.2168579101562,1058.3265380859375,3395.3955078125,849.6224365234375,943.1669311523438,768.6654663085938,852.2503662109375,1361.4295654296875,361.2689208984375,574.7435913085938,981.2564697265625,2985.3984375,925.6293334960938,182.7957305908203,18101.19921875
2023-01-10,4423.763671875,949.63427734375,1049.810791015625,3436.9609375,840.741943359375,939.9862670898438,754.6154174804688,840.5402221679688,1347.9478759765625,358.0089416503906,562.8742065429688,976.431396484375,2955.2294921875,914.1416015625,183.37893676757812,17914.150390625
2023-01-11,4318.732421875,947.2406005859375,1019.5437622070312,3348.23583984375,835.4882202148438,931.9898681640625,765.4898071289062,845.3706665039062,1349.32373046875,359.26507568359375,564.3401489257812,992.0162963867188,2993.267578125,917.514892578125,183.75218200683594,17895.69921875
2023-01-12,4317.89013671875,933.078125,1032.7310791015625,3244.052978515625,845.0352172851562,946.8779296875,769.5797729492188,839.857177734375,1357.89892578125,354.80877685546875,562.6377563476562,996.6964111328125,2998.34765625,913.138671875,184.05545043945312,17858.19921875
2023-01-13,4293.92236328125,931.6818237304688,1039.1541748046875,3289.593017578125,846.9563598632812,952.3119506835938,770.1812133789062,852.3479614257812,1379.03857421875,354.96832275390625,567.5556640625,995.4901733398438,3034.49755859375,914.5975341796875,183.7755126953125,17956.599609375
2023-01-16,4253.41552734375,910.7373046875,1031.222412109375,3271.43603515625,848.06396484375,966.3607177734375,762.7952270507812,844.3460693359375,1399.0780029296875,355.86553955078125,570.2984619140625,999.2053833007812,3066.2255859375,943.1343994140625,185.9683074951172,17894.849609375
2023-01-17,4281.34423828125,915.2752685546875,1040.468017578125,3285.372802734375,853.10205078125,981.6907348632812,774.1508178710938,844.2484741210938,1411.9176025390625,358.4276428222656,560.79345703125,996.5516967773438,3107.012939453125,953.7105102539062,184.91856384277344,18053.30078125
2023-01-18,4298.1318359375,921.55859375,1034.9205322265625,3325.711181640625,855.5720825195312,985.313232421875,787.81591796875,848.493408203125,1417.3287353515625,358.716796875,559.3748779296875,1003.692626953125,3117.68115234375,955.807373046875,188.11447143554688,18165.349609375
