Date,Adj Close,Close,High,Low,Open,Volume
2023-01-02,880.6473388671875,902.4500122070312,907.0,894.0,894.0,4315403
2023-01-03,879.5739135742188,901.3499755859375,905.9500122070312,896.75,898.5,5846855
2023-01-04,877.3782348632812,899.0999755859375,907.9000244140625,894.7999877929688,899.0,12454582
2023-01-05,857.9102783203125,879.1500244140625,903.0,872.0,900.9000244140625,16547196
2023-01-06,849.078857421875,870.0999755859375,878.9500122070312,860.5,878.9500122070312,14804613
2023-01-09,852.2503051757812,873.3499755859375,878.75,862.2999877929688,874.25,16811853
2023-01-10,840.540283203125,861.3499755859375,878.4000244140625,856.5999755859375,875.4000244140625,13470142
2023-01-11,845.3706665039062,866.2999877929688,870.8499755859375,854.8499755859375,862.9000244140625,15558460
2023-01-12,839.857177734375,860.6500244140625,869.3499755859375,854.9500122070312,865.5,16659001
2023-01-13,852.3479614257812,873.4500122070312,874.9000244140625,858.2999877929688,864.7000122070312,11223103
2023-01-16,844.3460693359375,865.25,877.4500122070312,861.0499877929688,877.25,8319812
2023-01-17,844.24853515625,865.1500244140625,867.9500122070312,858.0999755859375,866.9500122070312,12624859
2023-01-18,848.493408203125,869.5,872.0,858.6500244140625,864.4500122070312,11313898
2023-01-19,845.224365234375,866.1500244140625,870.5499877929688,862.0,868.0,6694679
2023-01-20,849.3228149414062,870.3499755859375,876.5,865.5499877929688,873.5,8127162
2023-01-23,850.6402587890625,871.7000122070312,883.2999877929688,864.5999755859375,882.0,16882379
2023-01-24,849.7131958007812,870.75,881.7000122070312,868.0,879.0,11504090
2023-01-25,834.6364135742188,855.2999877929688,876.7999877929688,848.0,873.2999877929688,14918485
2023-01-27,797.4569091796875,817.2000122070312,843.0,813.0999755859375,839.1500244140625,39718683
2023-01-30,803.6046752929688,823.5,826.25,796.0,800.0,36301441
2023-01-31,811.8018188476562,831.9000244140625,838.2999877929688,814.0999755859375,826.0,27291226
2023-02-01,827.4640502929688,847.9500122070312,875.2000122070312,823.1500244140625,843.4500122070312,39237711
2023-02-02,837.1736450195312,857.9000244140625,860.5999755859375,826.0999755859375,828.4000244140625,16798190
2023-02-03,842.93115234375,863.7999877929688,872.6500244140625,852.0999755859375,864.6500244140625,14914366
2023-02-06,833.0751342773438,853.7000122070312,867.7999877929688,849.6500244140625,861.5,8463833
2023-02-07,832.1480712890625,852.75,856.0,847.2000122070312,855.0,9337066
2023-02-08,838.3446044921875,859.0999755859375,860.7000122070312,851.9000244140625,852.5,8082983
2023-02-09,840.0036010742188,860.7999877929688,864.9000244140625,851.5999755859375,858.5,6299265
2023-02-10,833.221435546875,853.8499755859375,861.9000244140625,852.0,855.5499877929688,8656405
2023-02-13,830.098876953125,850.6500244140625,859.2999877929688,849.3499755859375,853.4000244140625,9394365
2023-02-14,844.3948364257812,865.2999877929688,867.2999877929688,852.0999755859375,853.9000244140625,13402934
2023-02-15,849.761962890625,870.7999877929688,873.25,860.5999755859375,866.4000244140625,12070288
2023-02-16,848.4446411132812,869.4500122070312,877.7999877929688,864.8499755859375,875.9500122070312,10715685
2023-02-17,841.8088989257812,862.6500244140625,867.5499877929688,855.1500244140625,867.5499877929688,9990618
2023-02-20,831.5137329101562,852.0999755859375,866.5499877929688,850.25,862.6500244140625,9013430
2023-02-21,833.5630493164062,854.2000122070312,859.4500122070312,846.8499755859375,854.4000244140625,11704445
2023-02-22,818.9741821289062,839.25,854.0999755859375,834.75,851.25,13880984
2023-02-23,819.4620971679688,839.75,844.4500122070312,833.5499877929688,836.5499877929688,11743574
2023-02-24,819.4133911132812,839.7000122070312,845.5999755859375,835.5499877929688,843.9500122070312,8246139
2023-02-27,835.7098999023438,856.4000244140625,858.2999877929688,833.5499877929688,833.5499877929688,14422574
2023-02-28,834.1973266601562,854.8499755859375,858.0,850.0,854.9000244140625,19600146
2023-03-01,835.6123046875,856.2999877929688,864.0,851.8499755859375,864.0,11015843
2023-03-02,833.3678588867188,854.0,861.8499755859375,851.0999755859375,853.0,12327141
2023-03-03,847.56640625,868.5499877929688,873.0,849.8499755859375,856.75,12823098
2023-03-06,846.78564453125,867.75,876.8499755859375,865.3499755859375,871.75,13904231
2023-03-08,851.0305786132812,872.0999755859375,873.6500244140625,861.5,866.6500244140625,16144568
2023-03-09,835.2708129882812,855.9500122070312,869.7999877929688,854.1500244140625,867.2000122070312,10624440
2023-03-10,822.2921142578125,842.6500244140625,845.3499755859375,836.25,844.7000122070312,17273189
2023-03-13,808.3863525390625,828.4000244140625,855.2999877929688,823.9500122070312,841.4500122070312,16413159
2023-03-14,810.2892456054688,830.3499755859375,834.4500122070312,818.25,827.0,15456802
2023-03-15,805.94677734375,825.9000244140625,843.9500122070312,822.2000122070312,836.4500122070312,12914488
2023-03-16,803.9951171875,823.9000244140625,831.2999877929688,810.2999877929688,829.7000122070312,14987868
2023-03-17,816.046630859375,836.25,838.4000244140625,818.6500244140625,831.7999877929688,11104490
2023-03-20,816.241943359375,836.4500122070312,837.7999877929688,825.0,837.0,14838651
2023-03-21,831.8065795898438,852.4000244140625,854.5,839.0499877929688,843.0,18755854
2023-03-22,839.4180908203125,860.2000122070312,862.5499877929688,851.0,857.6500244140625,17431520
2023-03-23,834.7828369140625,855.4500122070312,867.4500122070312,852.7999877929688,857.0,17920621
2023-03-24,831.8065795898438,852.4000244140625,860.0,849.1500244140625,852.5,17295696
