Date,Adj Close,Close,High,Low,Open,Volume
2023-01-02,363.890869140625,365.010009765625,366.6000061035156,363.2900085449219,365.55999755859375,5625005
2023-01-03,365.4460754394531,366.57000732421875,367.29998779296875,364.20001220703125,364.45001220703125,8317240
2023-01-04,363.0334777832031,364.1499938964844,366.9800109863281,362.7900085449219,366.9800109863281,8320520
2023-01-05,362.94378662109375,364.05999755859375,366.55999755859375,361.2300109863281,364.0,8663090
2023-01-06,356.2643127441406,357.3599853515625,365.20001220703125,354.1300048828125,365.20001220703125,18998275
2023-01-09,361.2689208984375,362.3800048828125,363.20001220703125,357.79998779296875,360.20001220703125,17134340
2023-01-10,358.0089416503906,359.1099853515625,363.20001220703125,357.7799987792969,361.7099914550781,7370655
2023-01-11,359.26507568359375,360.3699951171875,360.8299865722656,356.82000732421875,360.0,8018505
2023-01-12,354.80877685546875,355.8999938964844,361.3999938964844,354.4800109863281,361.3999938964844,17648025
2023-01-13,354.96832275390625,356.05999755859375,357.4599914550781,351.79998779296875,355.8999938964844,19915985
2023-01-16,355.86553955078125,356.9599914550781,359.79998779296875,356.0,357.3999938964844,10590805
2023-01-17,358.42767333984375,359.5299987792969,360.3900146484375,355.32000732421875,356.0,10661970
2023-01-18,358.716796875,359.82000732421875,365.3999938964844,359.20001220703125,360.5899963378906,14176160
2023-01-19,352.37628173828125,353.4599914550781,360.70001220703125,353.0,360.70001220703125,22128220
2023-01-20,351.49896240234375,352.5799865722656,355.7799987792969,351.3999938964844,355.7799987792969,21351470
2023-01-23,355.65618896484375,356.75,359.92999267578125,354.0,358.0,38823135
2023-01-24,350.9705810546875,352.04998779296875,358.5400085449219,349.75,358.5400085449219,20795940
2023-01-25,348.8869934082031,349.9599914550781,352.0799865722656,346.6000061035156,351.3999938964844,21401665
2023-01-27,341.56951904296875,342.6199951171875,350.4200134277344,340.79998779296875,350.4200134277344,37584895
2023-01-30,344.19146728515625,345.25,346.1199951171875,336.7699890136719,342.6199951171875,24697780
2023-01-31,345.1385803222656,346.20001220703125,347.7200012207031,342.6099853515625,346.1000061035156,21926920
2023-02-01,347.8701171875,348.94000244140625,356.79998779296875,344.1499938964844,349.0,18260490
2023-02-02,351.2696838378906,352.3500061035156,353.6000061035156,344.0,344.0,20922350
2023-02-03,354.96832275390625,356.05999755859375,356.739990234375,349.0400085449219,354.1199951171875,13376060
2023-02-06,348.3287048339844,349.3999938964844,355.6499938964844,348.0,355.0,15201045
2023-02-07,353.9913024902344,355.0799865722656,356.0,349.4100036621094,350.44000244140625,18215935
2023-02-08,352.01739501953125,353.1000061035156,356.0,352.2200012207031,355.760009765625,7233450
2023-02-09,353.0940856933594,354.17999267578125,355.0400085449219,349.5899963378906,353.5899963378906,10819125
2023-02-10,353.3233642578125,354.4100036621094,355.7300109863281,353.0,353.5799865722656,7229710
2023-02-13,353.67230224609375,354.760009765625,356.8900146484375,352.3299865722656,355.0199890136719,11945710
2023-02-14,352.98443603515625,354.07000732421875,355.3999938964844,352.75,354.0,8074465
2023-02-15,356.0050964355469,357.1000061035156,358.0,352.04998779296875,353.69000244140625,12046460
2023-02-16,356.4936218261719,357.5899963378906,360.7799987792969,356.7099914550781,358.79998779296875,11458010
2023-02-17,350.77117919921875,351.8500061035156,358.2799987792969,350.2099914550781,356.6199951171875,12939545
2023-02-20,346.3946533203125,347.4599914550781,353.6099853515625,346.0199890136719,353.6099853515625,16124195
2023-02-21,344.9790344238281,346.0400085449219,349.0,345.010009765625,349.0,14684670
2023-02-22,339.06719970703125,340.1099853515625,345.2200012207031,339.6000061035156,344.7900085449219,17695745
2023-02-23,340.3831481933594,341.42999267578125,342.75,337.54998779296875,341.4800109863281,13850550
2023-02-24,338.419189453125,339.4599914550781,344.8500061035156,338.79998779296875,342.6000061035156,10401815
2023-02-27,344.13165283203125,345.19000244140625,345.9599914550781,338.1600036621094,339.6600036621094,11718990
2023-02-28,344.78961181640625,345.8500061035156,348.2799987792969,344.3299865722656,345.19000244140625,21975490
2023-03-01,347.9100341796875,348.9800109863281,350.1199951171875,345.20001220703125,345.8500061035156,28066930
2023-03-02,343.28424072265625,344.3399963378906,349.2699890136719,343.6000061035156,347.1199951171875,20599675
2023-03-03,349.12628173828125,350.20001220703125,353.0,343.9800109863281,346.3999938964844,18131345
2023-03-06,349.12628173828125,350.20001220703125,352.9200134277344,348.2900085449219,351.260009765625,25934230
2023-03-08,346.972900390625,348.0400085449219,348.8599853515625,345.3699951171875,347.20001220703125,26013040
2023-03-09,342.2873229980469,343.3399963378906,348.9100036621094,342.739990234375,347.8599853515625,34641580
2023-03-10,338.8179626464844,339.8599853515625,342.70001220703125,338.3999938964844,341.3999938964844,24380720
2023-03-13,333.7535400390625,334.7799987792969,344.6600036621094,333.239990234375,339.79998779296875,44894690
2023-03-14,328.6392517089844,329.6499938964844,335.510009765625,328.70001220703125,334.6000061035156,70694930
2023-03-15,332.1684265136719,333.19000244140625,337.6000061035156,332.32000732421875,333.6000061035156,23461815
2023-03-16,331.6899108886719,332.7099914550781,335.7699890136719,329.6400146484375,334.0,18160315
2023-03-17,337.581787109375,338.6199951171875,341.239990234375,334.2300109863281,335.9200134277344,44641505
2023-03-20,338.8877258300781,339.92999267578125,340.5899963378906,336.2099914550781,337.3999938964844,22319685
2023-03-21,340.3233642578125,341.3699951171875,342.3900146484375,338.3999938964844,341.510009765625,9025900
2023-03-22,339.9844055175781,341.0299987792969,342.6400146484375,338.4200134277344,342.0,16630495
2023-03-23,334.9100036621094,335.94000244140625,340.0,335.0,339.8299865722656,28210755
2023-03-24,337.3923645019531,338.42999267578125,341.7900085449219,335.0,335.2099914550781,27403045
2023-03-27,339.99432373046875,341.0400085449219,342.57000732421875,338.6199951171875,340.1300048828125,14186020
2023-03-28,338.7381896972656,339.7799987792969,341.9599914550781,337.0899963378906,341.7900085449219,11858260
