Date,Adj Close,Close,High,Low,Open,Volume
2023-01-02,183.37893676757812,196.52499389648438,196.9499969482422,195.25,196.5,5559512
2023-01-03,185.24514770507812,198.52499389648438,198.875,195.85000610351562,196.52499389648438,5994422
2023-01-04,181.81597900390625,194.85000610351562,198.75,194.3000030517578,198.75,8926522
2023-01-05,180.5096435546875,193.4499969482422,196.10000610351562,191.875,195.0,9568980
2023-01-06,178.2235107421875,191.0,194.39999389648438,190.6999969482422,193.5,8484754
2023-01-09,182.7957305908203,195.89999389648438,196.5,192.5500030517578,193.0,7347432
2023-01-10,183.37893676757812,196.52499389648438,196.9499969482422,193.6750030517578,196.0,7879496
2023-01-11,183.75218200683594,196.9250030517578,198.0,195.75,196.5,7656600
2023-01-12,184.05543518066406,197.25,198.9499969482422,195.25,197.875,9510500
2023-01-13,183.77549743652344,196.9499969482422,198.3000030517578,193.25,198.0,13621860
2023-01-16,185.96832275390625,199.3000030517578,200.5,194.5,195.0,23867444
2023-01-17,184.91856384277344,198.1750030517578,201.02499389648438,196.875,200.02499389648438,14310032
2023-01-18,188.1144561767578,201.60000610351562,201.9250030517578,199.0,199.25,16080426
2023-01-19,188.20777893066406,201.6999969482422,202.0,199.375,201.0500030517578,9447456
2023-01-20,188.09112548828125,201.5749969482422,202.6999969482422,200.64999389648438,201.77499389648438,9265614
2023-01-23,189.88735961914062,203.5,203.875,201.25,202.60000610351562,8815290
2023-01-24,190.16798400878906,203.3000030517578,205.10000610351562,202.5749969482422,204.1999969482422,9552640
2023-01-25,187.8060760498047,200.77499389648438,202.9499969482422,200.0,202.5,6355554
2023-01-27,186.1691131591797,199.02499389648438,201.8000030517578,197.10000610351562,200.77499389648438,7410134
2023-01-30,188.1334686279297,201.125,202.39999389648438,197.52499389648438,199.02499389648438,7261256
2023-01-31,186.5432891845703,199.4250030517578,201.27499389648438,198.85000610351562,201.14999389648438,9566846
2023-02-01,188.20362854003906,201.1999969482422,201.9499969482422,199.1750030517578,200.75,7029896
2023-02-02,191.50094604492188,204.72500610351562,205.0,201.1999969482422,201.1999969482422,10835460
2023-02-03,190.7760009765625,203.9499969482422,206.5,203.0749969482422,206.27499389648438,8850236
2023-02-06,189.25595092773438,202.3249969482422,203.10000610351562,200.8000030517578,202.6999969482422,5958022
2023-02-07,187.3150177001953,200.25,202.75,199.52499389648438,202.75,6683580
2023-02-08,190.23814392089844,203.375,203.8000030517578,200.5,200.5,8300976
2023-02-09,190.96307373046875,204.14999389648438,204.47500610351562,201.77499389648438,203.375,5277374
2023-02-10,189.7938232421875,202.89999389648438,203.5,201.39999389648438,203.5,5160140
2023-02-13,187.36175537109375,200.3000030517578,202.8249969482422,199.60000610351562,202.8249969482422,4825356
2023-02-14,189.4664306640625,202.5500030517578,203.22500610351562,200.75,201.5,4638822
2023-02-15,190.54214477539062,203.6999969482422,203.9250030517578,200.1750030517578,201.35000610351562,5227672
2023-02-16,191.71139526367188,204.9499969482422,206.625,204.27499389648438,204.39999389648438,11189362
2023-02-17,190.02767944335938,203.14999389648438,204.0,202.0,203.4250030517578,5616244
2023-02-20,190.37844848632812,203.52499389648438,203.89999389648438,201.10000610351562,202.64999389648438,6497188
2023-02-21,188.36732482910156,201.375,204.0,201.0500030517578,203.6999969482422,5761172
